coin,ret_mean,ret_std,volumeto_mean,close_mean,cluster_kmeans,cluster_dbscan,cluster_hclust
ada,0.0012381309732790442,0.05275383737977939,211957378.11037314,0.6362734328358209,0,0,2
bnb,0.002279028924897365,0.029125159067716073,320522743.69525373,635.5844179104478,2,1,0
btc,0.0016723510480087084,0.025219256697941905,6080254918.86888,82975.32126865671,1,2,1
doge,0.0024038562562591803,0.052400452155463004,729866197.5269253,0.1899738656716418,2,3,0
eth,0.0014064380657241174,0.036918220715229155,4102345961.432403,3050.754343283582,0,4,2
ltc,0.0011848762175897289,0.040373937929297755,143426566.92995524,89.35219402985075,0,5,2
sol,0.0017832465723401788,0.0446134154195719,1305367629.061388,164.8544029850746,0,6,2
xrp,0.00303090545830162,0.04475606873827969,871656922.9572238,1.5696126865671642,2,7,0
