,order,aic,mae,rmse,mape
ada,"(1, 1, 3)",-1660.2016445435765,0.16937335579416368,0.19782293432706446,20.604290739825085
bnb,"(0, 1, 0)",-2291.580611295457,243.4361940298506,300.9942617678352,24.582017321805523
btc,"(1, 1, 0)",-2356.5330956987564,9065.928715043923,10147.011551981454,7.8265387187973285
doge,"(2, 1, 2)",-1635.5907425811145,0.05092064100834706,0.05918896909195115,21.909580075701733
eth,"(1, 0, 0)",-2019.1934501444432,1252.3786253729616,1395.7359666184548,30.240622933527465
ltc,"(1, 0, 0)",-1895.3587890169324,22.303037494560925,25.540940815381525,19.872252331265265
sol,"(2, 0, 0)",-1793.7861493989762,42.35218181709251,49.46723946765223,20.795441574742533
xrp,"(2, 1, 2)",-1794.8484409463476,0.6711729971583655,0.7591770061787189,22.644514011064828
